,title,category
0,김총리  새 거리두기 방안  일상에 큰 변화 될 것 ,Politics
1, 백신 유급휴가비  지원한다 법개정안 복지위 통과,Politics
2, 쇄신   변화  강조한 송영길  개혁 속도조절  국민공감대 우선 ,Politics
3,  소통수석  열린자세로  의 중요 이웃국 역할할 것  종합 ,Politics
10, 큐어백  백신 도입     한국  생산 거점 ,Politics
12,   송영길 대표연설  뜬구름 잡는 연설이자 막연한 희망고문 ,Politics
13, 일본도 미국에 싱가포르합의 계승 권했다 ,Politics
14, 새 당명 vs 논의된 바 없어       첫 회동 앞두고 고조되는 신경전,Politics
25,침묵깬 고민정  이준석 향해  공정하다는 착각  능력주의는 승자들 오만으로 몰아가 ,Politics
26,스페인서  경제 외교  방점 찍는        회담 공방 아쉬워 ,Politics
27,LH SH 전 직원에 재산등록 의무 부과 시행령 입법예고,Politics
28, 대대장이 병사 아버지 부대로 불러  제보 말라  협박 ,Politics
29,  3종 패키지  중심 추경 청년특임장관 제안 ,Politics
45, 현장연결  김부겸 국무총리  국민의힘 이준석 대표 예방,Politics
47,하태경  전부 기본소득 등 돈 쓰는 데만 집중 ,Politics
48,양승조  이대로는 재집권 어려워   대선 후보 모여 개헌안 논의하자 ,Politics
50,김부겸    정책 협조 구할 것  이준석  여야정 협의체 하자 ,Politics
51,김정은  당 전원회의서  인민 식량형편 긴장 ,Politics
52, 청년특임장관 신설  송영길  대통령에 제안,Politics
57,  박수현  문 대통령 G7 순방 핵심은  백신외교    성과 거뒀다 ,Politics
58,윤희숙     시장에서 물건 사면  비윤리적 이라고 한다 ,Politics
59,김대중도서관 방문한      벼락치기    견학정치  이슈시개 ,Politics
60,LH 등 부동산 관련 업무 공직자  올해 말까지 재산등록 의무화,Politics
61,서울현충원 찾은 이준석  전직 대통령  나라 기틀 다진 분들  종합 ,Politics
71,정부  접종규모  아직 유행 줄일만큼은 아냐 방심땐 유행 커질수도 ,Politics
72,두 정권 겨눈 윤석열의  공정   대선에선 스스로를 향한다,Politics
73,송영길  소상공인 손실보상  전 국민 재난지원금  신용카드 캐시백  3종 패키지 로 추경 편성 ,Politics
74,정부 백신 보상  여전히 소극적  재난적 의료비  신청 0건,Politics
75,하태경    자신감없다    모호한화법    기본인격 문제 ,Politics
90,송영길  재생에너지 한계 언급에  양이원영  잘못된 해결책  반박,Politics
91,송영길  조국의 시간  언급 이준석엔  탄핵의 강 넘어 합리적 보수로 ,Politics
92, 부사관 국선변호사 피의자 전환 이유 신상유출 직무유기 의혹,Politics
93,송영길  첫 연설서  청년  21번  변화  9번 2030 민심회복 의지,Politics
94,안측  국힘 당명 바꿔야  이준석  기싸움 말고 내려놔야  종합 ,Politics
95,홍준표  무대포 이재명  막무가내 정치에도 지지층 있는 게 신기 ,Politics
96,   남아공 대통령 빠진 G7 사진 논란에  앞으로 신중히 접근 ,Politics
97, 종부세 절충안 도 딜레마 진퇴양난  지도부,Politics
102, 금토일 vs 토일월  대체공휴일  빨간 날 의 귀환  남은 쟁점은,Politics
103,양이원영  소형원자로  탄소중립 해결책 아냐  송영길에 반박,Politics
104,양이원영  SMR로  에 전력공급  핵확산 논란 부를 수도 ,Politics
105,북한에선  상순 이 15일까지라고요 ,Politics
106,권은희  공동대표 요구 안 해 버스론 아니라 기차플랫폼 필요 ,Politics
116,이준석  오늘 안철수에  합당 선언  제안 당명 변경  반대로 전달받아 ,Politics
117,3분기 카드 더 쓰면 현금 준다 2차 추경에  캐시백  도입 종합 ,Politics
118,반기문  미국 대북제재 완화는 북한에 달렸다 ,Politics
119,심상정  이재명  윤석열 방패 삼아 차별금지법 몸 사려 ,Politics
120,    천안함 폭침 전  공격 징후 알고도 조치 안했다 ,Politics
135, 단독 이재명  책 출간한다  공식 출마선언 임박,Politics
136,성폭력피해자는 다 여군  국방부  성차별적 이메일 주소 논란,Politics
137,죽마고우 이철우  윤석열과 이준석의  공정   통한다 ,Politics
138,홀쭉해진 김정은   심각한 식량난  공식 인정,Politics
139,    친문  뺀 이념 초월 빅텐트 구상 중심은 공정 시장경제,Politics
140, 조직적 선거 범죄  이상직 1심 집행유예 2년  당선무효형  종합 ,Politics
141,황교안  이달 말 출판기념회 개최 사실상 대권행보 시작,Politics
146,거센 세대교체 요구   여야 모두  개헌논의  활발  이준석 신드롬 하  ,Politics
147,한국정치  0선 전성시대    2022 대선  주류교체의 장 될까   이준석 신드롬 하  ,Politics
148,하태경  윤석열  못 알아듣게 말해 그러다 안철수도 저물어 ,Politics
149,어제  입당 시간표  호응한 윤석열  오늘은 중도 확장  숨고르기 ,Politics
158,당명 변경하자는 안철수에 이준석  난감  야권 통합  난항 ,Politics
160,소대장이  중대장에게  돼지같은 X  육군  송구  보직해임 ,Politics
161,신용카드 캐시백 탈 원전 속도조절 송영길의 첫 교섭단체 연설,Politics
174,맨 앞줄이 한국의 위상   대통령 G7사진 알고보니 ,Politics
175, 온가족 조리돌림 고통견딘 조국  부산교육감 논란글,Politics
176, 공군 여중사  국선변호사 피의자 소환 15비행단  신상 유포 의혹  조사도,Politics
177,문 대통령  무차스 그라시아스    스페인  황금열쇠로 화답,Politics
178,친문 모임  민주주의 4 0   4년 중임제 대선 결선투표 개헌 논의,Politics
179,  이상민   평등법  발의  어떠한 사유로도 부당한 차별 금지 ,Politics
180,   이준석에 연일  수술실 CCTV 압박     생각이 젊어야 청년 ,Politics
184,권은희  합당  새 당명으로 해야 정시출발론    단일후보에 안맞아 ,Politics
185,국민의힘  송영길 향해  현실성 없는  누구나집    지난 4년 도돌이표 ,Politics
186,국민의힘    연설  내로남불 민심불청 반성에도 우려 여전 ,Politics
187, 이  백신  지원  밝힌 다음날   김정은  알곡이 부족하다 ,Politics
188, 수술실 CCTV  두고 이재명 이준석 공방   엘리트 기득권 대변  안 변해  VS  180석 가진  가 기득권 ,Politics
197,2030  국민의힘 입당 러시  호남도 폭증 눈물이 난다 ,Politics
198,사무총장 놓고  중진 벽 에 막힌 이준석  권영세  삼고초려 ,Politics
199,  절친  이철우  이준석 새정치  윤석열 큰정치와 결합돼야 정권교체 ,Politics
200, 굉장히 흥분  빈 식물원서  초보 농부   여사가 꺼낸 연장,Politics
213,이재명  중소기업 제값 받는 교섭권 보장법 환영 ,Politics
214,유승민  이재명  기본소득이란  가짜약 팔기  그만둬야 ,Politics
215,권은희  국민의당 국민의힘 합당 땐 새 당명으로 가야 ,Politics
216,살빠진 김정은  당 전원회의서  식량 형편에 긴장 ,Politics
217,권은희  국민의힘과 합당에  새 당명으로 가야 ,Politics
218,   6말7초 등판    이제 검증의 시간 ,Politics
