title,category
보험사  자본확충 비상   고객에 지급할 보험금  시가 로 평가 ,Economic
 주인공이 한국서 안 파는 커피사탕을   드라마 속 해외PPL 늘어난 이유,Economic
 아두카누맙  임상 상 통과시 국내 제약사  실적타격  불가피,Economic
카카오  자생  vs 토스  원팀    닮은듯 다른 빅테크 금융,Economic
 사업 쪼개기  나선 기업들   주가 상승 기회될까,Economic
 K 배터리 한계 없다  니켈       분 충전 도전,Economic
루트로닉   분기 연속 흑자   돌아온  위  굳히나,Economic
네이버 카카오 급등 시총  위 경쟁 치열 종합 ,Economic
서울엔 없는  누구나집   경기 인천 집중  수요 흡수 한계 ,Economic
 포드와 배터리 협력   전기차 산업 벨류체인 구축 ,Economic
서울 아파트 가격   주 연속      대 상승 ,Economic
민간임대아파트 안성공도 센트럴카운티  전세난 해결방안 제시,Economic
외국인 대상  대차거래 확인시스템  연말 구축 소비자 불만 커져,Economic
광주 건물붕괴  총체적 부실  먹어가기 철거방식부터 잘못 ,Economic
코인빗   급변하는 암호화폐 시장 상황 속 역할 최선 다 하겠다 ,Economic
 되레 서울집값이 저렴   개월간     뛴 의왕  믿는 구석 ,Economic
중국 정부 움직였나 가상자산 거래소 검색 안 돼,Economic
금호석유 피크아웃 논란   JP모건   만원 vs 국내 증권사   만원 왜 ,Economic
장기금리 급등 한은  경기 회복 동반해 실물 영향은 제한적 ,Economic
  년 전 잠원동 사고와 판박이  건물 철거 이대로 괜찮을까요 ,Economic
 초품아  뜨거운 열풍      세대 꾸준한 인기,Economic
 환율마감  원달러 환율     원 오른       원 상승,Economic
티웨이항공  국내 LCC 최초  IATA 트래블패스  시범 운영,Economic
하루에  만개씩 팔렸다  이른 무더위에 여름  비빔면  전쟁 심화,Economic
 단독  국민은행  알뜰폰 사업  위 노린다   요금 최대     파격 인하 ,Economic
손바닥처럼 뒤집은 정책에 과천  자족도시  계획 물거품 위기,Economic
전지현    억 이정현   억 차익 배우들 빌딩 매각 달인 ,Economic
이번엔 클린에너지퓨얼스         CNBC  밈 주식  주안에 팔아라   자이앤트레터 ,Economic
 개 그룹 회장  수소사회 조기실현 뭉쳤다       년까지   조원 투자,Economic
 누구나집  성패 가를 키워드 공적재원 수익성 메리트,Economic
홍남기는  고점 이라는데 서울 아파트값 브레이크 없는 상승세,Economic
 통화신용보고서  장기금리 상승  실물경제 긴축영향 제한적 ,Economic
 기자수첩 수소경제 민 관 협력 과제,Economic
  년임대 후   년 전 분양가로  누구나 집  사업유인책  글쎄 ,Economic
페퍼저축은행      년   월 이전 대출도 최고금리 연      로 낮춘다,Economic
만도 자율주행 물적분할 놓고 갈린 증권업계  지분가치 희석  vs  성장성 부각 ,Economic
동시에 치솟는 물가  실업률     경제고통지수    년만에 최고치,Economic
한은 부총재보  기준금리 한두 번 올려도 긴축 아냐 ,Economic
집콕족 늘자 음식물 처리기  인기  가전업계  시장진출 담금질,Economic
제주도 카지노 오픈 D   롯데관광개발  신고가  터치,Economic
 통화신용보고서    장기금리 상승  신흥국 외환위기 확대요인 ,Economic
 리뷰  먼지 정복욕  일깨우는  레이저 청소기  다이슨 V   써보니,Economic
  년 뒤 분양가를 지금 정한다는  누구나집  잘 될까,Economic
네마녀의 날  코스피     억 사들인 외인 다시 뛰는 성장주,Economic
 여의도 수서역  분만에    한화시스템 부스에선 UAM 로터 쌩쌩,Economic
한국 조선  지난달 중국 제치고 수주  위 선가는  년반새 최고,Economic
금융위  카카오 손해보험 예비허가  지각변동이냐  찻잔속 태풍이냐 ,Economic
 외환마감   물가지표 대기모드  환율      원 중반 강보합,Economic
 나무 밑동 자르듯 작업했나  저층부터 무리한 철거정황 드러나 종합 ,Economic
    년부터 보험 회계기준 확 바뀐다,Economic
금융당국  암호화폐거래소 또 소집  옥석 가리기  본격화,Economic
인플레 공포감 커졌다   긴축 으로 선회하는 중앙은행들,Economic
대안 주거시설 인기  고급 주거시설  원에디션 강남 ,Economic
상속세 할부로 내면 누가 이익을 얻는가  팩트체크 ,Economic
한은  가계대출 급증세 이어질 것 장기적으로 소비위축 위험 ,Economic
벤츠가 만든 전기차도 출격,Economic
IPO일정 줄줄이 연기 SD바이오센서 등  월 청약 전망,Economic
코스피 사흘만에 반등 외국인  서비스업종 집중 순매수,Economic
현대차 효성 포스코 SK  수소경제 활성화  맞손 ,Economic
혼돈의 화학    외국계  팔아라  국내 증권사  더 간다 ,Economic
이런 제네시스 어때요  첫 전기차 공개,Economic
 통화신용보고서  가계대출 증가세 지속될 것 ,Economic
보험업계 메기  찻잔 속의 태풍  카카오 손보 곧 출범한다,Economic
   월 근원 물가 상승률    년만에 최고치 기록할 전망,Economic
원자재 값 뛰어도 꼼짝 않는 납품가 단조업계  수주할수록 적자 ,Economic
 구매한도 폐지하고 면세한도 높여야   면세점 구하기  목소리 분출 종합 ,Economic
 오후초대석  인천 안산 파주 등  누구나 집   만호 공급 부동산 안정화될까,Economic
누를수록 더 뛰는 강남 집값 압구정 현대   차    억에 팔려,Economic
기대감 높던  월  매물 느는 기색 없고 매매 전셋값 상승세 수도권 확산,Economic
대방건설  주거용 오피스텔  동탄역 디에트르 퍼스티지  사이버 견본주택 오픈,Economic
 신형 에스컬레이드  내놓은 캐딜락  초대형 SUV시장 게임체인저 될 것 ,Economic
 LG 분할  반도체 설계사 실리콘웍스  LX세미콘으로 사명변경,Economic
부산 마저 코인거래소 등돌려,Economic
 집중진단  IPO  초대어  온다  LG엔솔 가치  최대    조,Economic
