,title,category
0,합당 속도 공감대 속 주도권 기싸움 벌인    ,Politics
1, 영상  이준석 안철수  전쟁 같은 합당 되지 않게 ,Politics
2,안철수 이준석 당 대표로서 첫 공식 회동 합당 논의,Politics
3,이준석 안철수  합당 의지 변함 없어   새 당명 엔 이견,Politics
4, 김기현 국민의힘 대표 국회 교섭단체 대표연설 LIVE ,Politics
5,국민의힘 김기현  오늘 교섭단체 대표연설   키워드는 민생 공정,Politics
6,김기현  오늘 교섭단체 대표연설 공정 민생 강조,Politics
7,김기현  취임 후 첫 교섭단체 대표연설 부동산 일자리 등 민생 문제 집중 제기할 듯,Politics
8,문 대통령  한국 스페인 전략적 동반자 관계   상원 연설서 청사진 제시,Politics
9,문대통령  코로나 넘어 대재건   스페인이 주인공 ,Politics
10,문 대통령  마드리드 떠나 바르셀로나로 이동 경제인 행사 등 참석,Politics
11,바르셀로나로 이동한   국왕 초청 경제인포럼서 연설,Politics
12,대체공휴일 확대 추진  환영과 우려  공존 ,Politics
13, 대체휴일 확대  제동 건 정부 17일 재논의하기로,Politics
14, 고용시장 악화 vs  내수 활성화  대체휴일 입법공청회,Politics
15, 대체 휴일 확대  제동 건 정부 오늘 재논의,Politics
16,윤석열  대선 승리 전략 목표 공개  압도적인 정권교체 ,Politics
17,윤석열측  압도적 정권교체 위해 김종인과 함께 할 수도 ,Politics
18,등에  타투  새기고 기자회견 한 류호정   눈썹 문신  홍준표  흔쾌히 웃으며 공감 ,Politics
19, 눈썹 문신 홍준표도 동참  타투를  하라  류호정 등 파인 파격 드레스,Politics
20, 소급 대신 피해 지원  손실보상법 국회소위 통과,Politics
21,정부  영업제한 보상 기준 확대  비용 확 뛸듯,Politics
22,이철희    방일 추진 보도    국내정치용 상식적이지 않다 ,Politics
23,이철희  회담취소    태도 비상식적 자국 정치용으로   이용 ,Politics
24,김정은  북한 노동당 2일차 전원회의 주재,Politics
25,  전원회의 2일차  하반기 투쟁과업 분과별 연구토의 ,Politics
26,김재원   이준석  공천 자격시험 은 민주주의와 안 맞아 ,Politics
27,김재원의 반기   이준석의  정치인 자격시험   민주주의 이념 맞지 않아 ,Politics
28, DJ 도서관  찾은 윤석열  글  비꼰 정청래  이런 말 처음  언어의 새 지평 열어 ,Politics
29,  방명록 비판한 정청래  국어도 모르면서 무슨 국가를 언어의 지평을 여셨네요 ,Politics
30,전여옥  고민정  보수우파의 보배  변함없이  갬성 하라 ,Politics
31,고민정 폭격한 전여옥  민정씨는  보수우파 의 보배 변함없이  갬성 하라 ,Politics
32,송영길  첫 연설서  청년  21번  변화  9번 2030 민심회복 의지,Politics
33,송영길  청년 재난의 시대 대통령께 청년특임장관 신설 제안 ,Politics
34,유승민  대권 주자 입당할 때마다 당명 바꿀 순 없어 ,Politics
35,이준석  당명 바꿀 필요 없다 차별금지법  시기상조 ,Politics
36,글로벌 에너지 기업  한국 태양광 해상풍력 단지 투자 본격화,Politics
37,글로벌 에너지 기업    투자 본격화 KOTRA  스페인서 투자신고식 개최,Politics
38,스페인  지도 본    독도가 한국영토 보여주는 소중한 자료 ,Politics
39,문 대통령   조선왕국전도  관람  독도가 한국땅임을 보여주는 사료 ,Politics
40, 오차범위  이준석 효과  40  넘나드는 국힘 지지율  추세적 전환 국면 ,Politics
41, 오차범위  박용진  지지율 첫 5 대 진입  선명성 에 유권자 응답,Politics
42, 오차범위 들쑥날쑥 여론조사 전화면접엔 이재명 ARS 윤석열 이유는,Politics
43, 오차범위  별의 순간 언제까지  윤석열 주춤    잠룡  반짝 ,Politics
44,홍남기 부총리  2 4대책 사업 참여자 세제 불이익 해소 ,Economic
45,홍남기  2 4대책 토지주 취득세 감면 수도권 과열 조사  종합 ,Economic
46, 속보  홍남기  2 4 대책 공공매입 토지주 취득세 감면 ,Economic
47, 현장영상   5월 이후 준공 확대로 연말까지 평년 수준 입주물량 확보 ,Economic
48, 요기요 사장님  매출 홍보 알바 통합 관리하는 서비스 무료로 받으세요 ,Economic
49,우리은행  SK엠앤서비스와 맞손 디지털융복합 통한 금융지원,Economic
50,우리   SK엠엔서비스와 소상공인 금융서비스 MOU,Economic
51,우리은행  SK엠앤서비스 손잡고 소상공인 금융 지원,Economic
52,재출시된 오리온  치킨팝  5000만봉 판매 돌파,Economic
53,오리온  치킨팝   누적 판매량 5000만봉 돌파,Economic
54,국민 1인당 1봉 먹었다 돌아온 오리온  치킨팝   누적 판매 5000만 봉 돌파,Economic
55,공장 화재로 판매 중단된 치킨팝  재출시하자 1분에 40개 팔려,Economic
56, 급변하는 미래차 시장 대응  규제 개선 절실 ,Economic
57,대한상의 5차 미래산업포럼  자동차산업  정부지원 규제완화 절실 ,Economic
58,미국 FDA  휴젤 보툴리눔톡신  레티보  허가심사 착수,Economic
59,미국 FDA  휴젤 보툴리눔 톡신 품목허가 심사 착수,Economic
60, 단독 이스타항공 인수 나선 성정  투자 유치 논의  끝까지 간다 ,Economic
61, 이스타 인수 자신 쌍방울그룹  뒤에는 시총 1  나노스 있다 시그널 ,Economic
62,코인빗  기습 상폐 공지 하룻밤 새  90   돈 삭제 됐다,Economic
63, 단독  코인빗이 상장 폐지한 8개 코인은 모두  거래소 토큰  발행에 관여한 코인 정리,Economic
64,LG에너지솔루션  세계 최대 ESS 프로젝트에 1 2GWh 규모 배터리 공급,Economic
65,LG에너지솔루션    발전사에 세계 최대 규모 ESS 배터리 공급,Economic
66,신세계 네이버 컨소시엄  이베이코리아 인수 유력,Economic
67, 몸값 5  로 시작했지만   카카오 SKT 등 불참에 흥행 실패,Economic
68,50인 미만 기업 주52시간 유예 없다    정부 내달 곧바로 실시,Economic
69,정부  삶의 질 올라가는 계기 기대   50인 미만 도 바로 주52시간,Economic
70,현대차  전기차 모터스포츠 대회  퓨어 ETCR  출전,Economic
71,현대차  고성능 브랜드 N  순수전기차 레이싱 대회 첫 출전 ,Economic
72,동원F B  리챔 포장으로  실종아동 찾기  나선다,Economic
73,동원F B   리챔 에 실종아동 정보 담고  실종아동 찾기  캠페인 진행,Economic
74, 외환브리핑  연준  긴축 신호   강달러에 환율 1130원대 예상 ,Economic
75, 외환브리핑   FOMC 대기모드  환율  1110원 중후반대 등락,Economic
76, 외환브리핑   국채 금리 반등 따른 달러 강세   FOMC 경계감 커졌다 ,Economic
77, 외환브리핑  FOMC 앞두고 달러화 반등  환율  1110원 중반 전망,Economic
78,대전 보습학원 총 28명 확진 초등학교 11곳 등교중지,Social
79,대전 학원발 코로나19 빠르게 확산 방역 교육당국  비상 ,Social
80,대전 3개 학원 집단 감염 원인은  밀폐 밀접  환기 안 돼  종합 ,Social
81,심상치 않은 대전 학원  감염  사흘새 확진자 30명 육박,Social
82,경남예고 학생들  이건희 미술관 진주 유치 동참,Social
83,영남권 미래발전협의회  이건희 미술관 입지선정 비수도권 대상 공모 추진 공동 건의,Social
84,영남 시도지사  이건희 미술관  비수도권 대상 공모로 선정해야 ,Social
85,부산 여야정  이건희 미술관 입지 공모해야  결의문 채택,Social
86,납치 당하던 여성  손가락으로  112  곧바로 신고한 시민,Social
87,끌려가며 손가락으로 표시한  1 1 2   납치 여성 구해,Social
88,손가락으로  112  신호 보낸 여성 20대 납치범 구속,Social
89,납치당한 여성의 손가락 신호 1 1 2 한 시민이 눈치챘다,Social
90,이천 쿠팡물류센터서 불 직원 240여 명 대피 종합2보 ,Social
91,이천 쿠팡물류센터 화재 직원140여 명 긴급대피,Social
92,쿠팡 덕평물류센터서 화재 인명피해 없어,Social
93,이천 쿠팡 물류센터 불  직원 200여명 대피,Social
94,한번 경고했는데 의사 559명 여전히 마약류 졸피뎀 오남용,Social
95,1차 경고에도 의사 수 백명 마약류 졸피뎀 오남용,Social
96,다음달 50대 대상 접종 전망 만 18 49세  연령 구분 없이 8월부터 한꺼번에 진행될 듯,Social
97,정은경  50대 7월 우선 접종 다른 연령대는 8월 시작 ,Social
98, 속보  코로나 신규확진 540명 이틀째 500명대,Social
99, 속보 코로나19 신규 확진자 540명 3분기 백신 접종 계획 오늘 발표,Social
100,시공사 현대산업개발 압수수색 해체 공사 감리자 구속영장,Social
101, 광주 건물 붕괴  관련 경찰 현대산업개발 본사 압수수색,Social
102,김진욱 공수처장 오늘 첫 기자간담회   유보부 이첩     수사  언급할 듯,Social
103,유보부 이첩 윤석열 사건에 입장 밝힐까 김진욱  내일 첫 기자간담회,Social
104, 택배 분류 인력 2개월 내 투입 잠정 합의  택배 총파업 종료,Social
105,택배 노동환경개선 잠정 합의 노조  1박2일 상경투쟁 마무리,Social
106,유치원 차로 출근  버스전용차로 쌩쌩 딱 걸린 시의원,Social
107,서울시의원  유치원 차 타고 버스전용차로 이용 논란,Social
108,모더나 코로나19 백신 국가출하승인 이번 주 접종 시작,Social
109,국내 4번째 백신 모더나 이번주 접종 시작 30세 미만 의료인 대상,Social
110,사귈땐  성관계 사진 뿌린다  결혼 후엔 폭행한 남편  집유 ,Social
111,이별 원하자 나체사진 유포하겠다고 협박한 30대 남성 집행유예,Social
112,경찰   오피스텔 감금살인  막을 기회 놓쳤나,Social
113, 마포 오피스텔 감금 살인  20대들  지난해 상해죄로 고소당해,Social
114,1차접종 총 1천321만9천207명 25 7  내일 1천400만명 돌파 전망 종합 ,Social
115,제주도민 10명 중 3명 코로나 백신 1차 접종 완료 29  넘겨,Social
116,부산시  유엔기후변화협약  레이스 투 제로  캠페인 참가,Social
117,부산시  유엔기후변화협약  레이스 투 제로  캠페인 참여,Social
118, 픽뉴스  청 SNS 또 시끌  미러 신경전  거짓 출산 논란  류호정 타투,Social
119, 픽뉴스  차량 삼킨 싱크홀   동시 약혼   이사장의 단식   낯가리는 스가,Social
120, 픽뉴스   왕실 수당 거부한 공주   아내만 38명   남아공 대통령 뺐다가 ,Social
121, 픽뉴스  최후의 G7 312억 우주여행 365일 다이빙,Social
122, 어음 1억6천만원 막지 못해서  서울문고 최종 부도처리,Culture
123, 오프라인 서점 3위  반디앤루니스 운영 서울문고 최종 부도,Culture
124,반디앤루니스 운영 서울문고 최종 부도 온라인도 중단,Culture
125,반디앤루니스 운영 서울문고  최종 부도,Culture
126,솔비 미술작품  서울옥션 경매서 2천10만 원에 낙찰,Culture
127,솔비의  플라워 프롬 헤븐  2010만원에 낙찰,Culture
128,권지안 솔비  작품 2010만원 낙찰 해당 경매 최고가,Culture
129, 솔비 작품  몸값  5배 뛰었다 71회 경합 뒤 2010만원에 낙찰,Culture
130,대구 경북 흐리고 일부 지역 빗방울 낮 최고 25도,Culture
131,대체로 흐리고 곳곳 빗방울 대구 낮 23도,Culture
132,롯데호텔 서울  취향 따라 즐기는  냉면  돌아왔다 ,Culture
133,롯데호텔  여름철 별미  냉면  돌아왔다,Culture
134,울주 보덕사서 도난당한 조선불상  반년 만에 제자리로,Culture
135,도난 당한 울주 보덕사 보살상  6개월만에 제자리로,Culture
136, 청명했던 하늘 안녕  전국 25도 안팎  흐려져요 날씨 ,Culture
137,전국 흐리고  더위 주춤 호남 제주 비 조금,Culture
138,제주 호남내륙 비 조금 낮기온 어제보다 낮아,Culture
139,전국 흐리고 더위 주춤 제주 동해서 비 소식,Culture
140, 음악이 흐르는 아침  오페라 장인의 종교음악 로시니의  스타바트 마테르 ,Culture
141, 음악이 흐르는 아침  위작 논란 속 탄생한 명곡 토마소 알비노니  아다지오 g단조 ,Culture
142, 음악이 흐르는 아침  영원한 지젤 카를라 프라치,Culture
143, 음악이 흐르는 아침  80세 연륜 담긴 희가극 주세페 베르디  팔스타프 ,Culture
144, 리빙포인트  은행 익힐 땐 빈 우유팩을,Culture
145, 리빙포인트  굳은 소고기 부드럽게 하려면,Culture
146, 리빙포인트  돼지고기 삶을 땐 된장을 조금,Culture
147, 리빙포인트  병마개가 잘 열리지 않을 땐,Culture
148,바이든 푸틴 첫 정상회담 종료   예정보다 일찍 끝나,World
149,푸틴  미러 정상회담  이견 불구 건설적  인더머니 ,World
150,푸틴과 회담한 바이든  러시아와 관계 상당히 개선 전망 있어 ,World
151, 지각 대장  푸틴  제네바 도착 미러 정상 회담 예정대로 시작할 듯,World
152,큐어백 백신 예방효과 고작 47  주요고객 유럽에 악재 돌출,World
153,독일 큐어백 백신  면역효능 47    WHO 승인 어려울 수도,World
154,mRNA 기대 모았던  큐어백 백신  고작 47  예방효과 승인 불투명,World
155,   위탁생산 추진  큐어백  백신 효과 47 에 그쳐,World
156,시장 불안 의식한 파월  테이퍼링 문제 논의에 대해 논의 ,World
157,치솟는 유가  FOMC 중요변수 가능성    파월의 걱정거리 ,World
158,파월  자산 매입 축소 기준에 도달하려면 아직 멀었다 ,World
159,전문가들    FOMC  12월 자산매입 축소들어갈 듯 ,World
160,  연준의 조기 긴축  공포탄 이 무섭지 않은 이유,World
161,빨라진 금리인상 시계   FOMC  2023년 말까지 2번 올린다 ,World
162,바이든 푸틴  첫 정상회담서 선물도 주고받아 종합 ,World
163,첫 정상회담서 푸틴에게 준 바이든의 선물은 ,World
164,이스라엘 새 정권  가자지구 첫 공습   폭탄풍선 대응 ,World
165,극우 행사 충돌에 가자 공습까지 이스라엘 팔레스타인 다시   ,World
166,중국산 백신 격리면제는  한국 정부의 신뢰   관영매체,World
167,한국 격리면제에 반색한 중국  우리는 글쎄 ,World
168,도쿄 등 긴급사태 21일 해제  도쿄올림픽 관중 상한 1만명 검토 ,World
169,도쿄 올림픽 결국 유관중   최대 1만명 수용 검토 ,World
170,화이자 CEO  내년 말까지 전세계가 정상적 삶으로 돌아갈 것 ,World
171,화이자 CEO  내년 말  전세계 코로나 종식 선진국은 올해 말 ,World
172,터키 검찰이 46년 구형    함께 여행간 그는 성고문 악마였다,World
173,터키 검찰  함께 여행 간 20대  성고문 강간한 40대 한국남성에  징역 46년  구형,World
174, 리얼돌    버전 나온다  트럭 들어 올릴 정도로 강력   글로벌  ,World
175, 트럭도 들어올릴 힘  첫  리얼돌 등장에 논란 확산,World
176, 우주정거장 건설 선저우 12호 유인우주선 오늘 발사,World
